date,CCB,ICBC,PINGAN,BOCHK,CHINALIFE,BANKCOMM,BOC
2010-10-29,5.149,4.406,38.846,17.978,30.336,5.954,3.14
2010-11-01,5.323,4.463,40.359,18.644,31.274,5.968,3.242
2010-11-02,5.442,4.519,40.266,18.644,30.827,6.025,3.283
2010-11-03,5.588,4.724,40.941,18.755,31.363,6.144,3.357
2010-11-04,5.762,4.738,40.894,19.236,31.497,6.264,3.384
2010-11-05,5.783,4.759,41.383,19.791,31.631,6.313,3.423
2010-11-08,5.658,4.865,41.08,20.531,32.704,6.327,3.437
2010-11-09,5.623,4.773,40.103,21.123,32.436,6.299,3.374
2010-11-10,5.502,4.681,41.546,21.308,32.212,6.116,3.275
2010-11-11,5.545,4.816,43.501,21.345,32.257,6.158,3.296
2010-11-12,5.337,4.667,42.477,20.42,31.542,6.039,3.219
2010-11-15,5.272,4.583,41.662,19.976,31.006,6.004,3.169
2010-11-16,5.164,4.484,40.545,19.68,30.336,5.947,3.127
2010-11-17,5.107,4.357,40.778,19.976,30.157,5.842,3.035
2010-11-18,5.243,4.47,42.454,20.272,30.649,5.933,3.084
2010-11-19,5.193,4.392,43.943,20.087,30.515,5.898,3.049
2010-11-22,5.193,4.347,43.501,19.717,30.872,5.891,3.014
2010-11-23,5.064,4.246,41.592,19.273,29.889,5.772,2.894
2010-11-24,5.071,4.289,41.988,19.569,29.934,5.765,2.915
2010-11-25,5.064,4.34,41.872,19.31,29.978,5.758,2.936
2010-11-26,4.999,4.261,41.476,19.236,29.8,5.715,2.908
2010-11-29,5.085,4.289,41.965,19.791,30.202,5.75,2.95
2010-11-30,5.035,4.347,41.709,19.754,29.8,5.701,2.936
2010-12-01,5.049,4.311,42.361,20.494,30.112,5.779,2.979
2010-12-02,5.179,4.347,43.268,20.716,30.157,5.856,3.021
2010-12-03,5.1,4.304,42.337,20.457,29.755,5.758,2.986
2010-12-06,5.006,4.246,42.43,19.606,29.666,5.715,2.908
2010-12-07,5.071,4.297,42.593,19.532,29.755,5.743,2.957
2010-12-08,5.028,4.225,41.755,19.162,29.353,5.673,2.901
2010-12-09,4.999,4.217,41.872,19.199,29.487,5.659,2.901
2010-12-10,5.013,4.196,41.336,19.014,29.442,5.638,2.901
2010-12-13,5.071,4.225,41.011,19.162,29.487,5.673,2.936
2010-12-14,5.1,4.261,41.197,19.125,29.487,5.645,2.979
2010-12-15,4.985,4.181,39.986,19.088,28.951,5.554,2.894
2010-12-16,4.949,4.138,38.171,18.94,28.325,5.49,2.866
2010-12-17,5.006,4.138,38.637,19.347,28.236,5.413,2.866
2010-12-20,4.97,4.109,38.101,19.125,27.923,5.399,2.866
2010-12-21,5.013,4.153,39.381,19.162,28.325,5.519,2.908
2010-12-22,4.963,4.117,39.381,19.421,28.549,5.547,2.887
2010-12-23,4.927,4.102,38.706,19.199,28.281,5.49,2.852
2010-12-24,4.87,4.088,38.637,19.125,28.191,5.441,2.844
2010-12-28,4.798,4.03,39.032,19.051,28.013,5.406,2.823
2010-12-29,4.913,4.088,39.498,19.384,28.281,5.497,2.873
2010-12-30,4.949,4.138,39.87,19.421,28.281,5.511,2.873
2010-12-31,5.006,4.167,40.452,19.569,28.37,5.504,2.894
2011-01-03,5.078,4.21,41.104,19.791,28.683,5.603,2.929
2011-01-04,5.121,4.268,40.545,20.531,28.996,5.617,2.95
2011-01-05,5.121,4.282,39.73,20.827,29.04,5.638,2.929
2011-01-06,5.078,4.253,39.451,20.642,28.638,5.638,2.936
2011-01-07,5.071,4.225,39.055,20.605,29.085,5.645,2.922
2011-01-10,5.057,4.181,38.776,19.939,28.593,5.624,2.915
2011-01-11,5.1,4.239,38.753,20.235,28.638,5.61,2.936
