date,SPY,IVV
2001-01-02,128.8125,128.6875
2001-01-03,135.0,135.0938
2001-01-04,133.5469,133.5625
2001-01-05,129.1875,129.7031
2001-01-08,130.1875,129.9063
2001-01-09,129.8438,129.9375
2001-01-10,132.125,131.7656
2001-01-11,132.25,132.4688
2001-01-12,132.0,132.125
2001-01-16,132.8438,132.6719
2001-01-17,133.4531,133.3281
2001-01-18,134.7813,134.8438
2001-01-19,134.0156,134.375
2001-01-22,134.9063,134.5156
2001-01-23,135.9688,135.9219
2001-01-24,136.375,136.5469
2001-01-25,136.0313,135.8125
2001-01-26,135.875,135.7656
2001-01-29,136.6,136.5
2001-01-30,137.8,137.77
2001-01-31,137.02,136.9
2001-02-01,137.93,137.78
2001-02-02,134.8,134.99
2001-02-05,135.79,135.41
2001-02-06,135.39,135.44
2001-02-07,134.69,134.49
2001-02-08,133.12,133.25
2001-02-09,131.84,131.9
2001-02-12,133.35,133.19
2001-02-13,132.26,132.45
2001-02-14,132.06,131.88
2001-02-15,133.34,133.0
2001-02-16,130.4,130.45
2001-02-20,128.39,128.36
2001-02-21,125.62,125.72
2001-02-22,125.81,125.45
2001-02-23,124.96,124.75
2001-02-26,127.62,126.95
2001-02-27,126.44,126.51
2001-02-28,123.95,124.07
2001-03-01,124.6,124.54
2001-03-02,123.61,123.63
2001-03-05,124.74,124.55
2001-03-06,126.08,126.03
2001-03-07,126.98,126.55
2001-03-08,127.12,126.92
2001-03-09,123.36,123.47
2001-03-12,118.08,117.78
2001-03-13,120.02,119.72
2001-03-14,117.65,116.86
2001-03-15,117.68,117.4
2001-03-16,115.01,115.24
2001-03-19,117.35,117.32
2001-03-20,114.2,114.45
2001-03-21,112.26,112.49
2001-03-22,111.12,111.71
2001-03-23,114.48,114.44
2001-03-26,115.94,115.79
2001-03-27,118.31,118.28
2001-03-28,115.04,115.32
2001-03-29,115.48,115.34
2001-03-30,116.69,116.72
2001-04-02,114.2,114.25
2001-04-03,110.39,110.33
2001-04-04,110.85,110.61
2001-04-05,115.05,114.99
2001-04-06,113.3,113.37
2001-04-09,114.56,113.67
2001-04-10,116.65,116.83
2001-04-11,116.73,116.9
2001-04-12,118.85,118.57
2001-04-16,117.6,117.85
2001-04-17,119.26,119.12
2001-04-18,124.0,124.24
2001-04-19,125.65,125.51
2001-04-20,124.5,124.85
2001-04-23,122.24,122.38
2001-04-24,121.58,121.51
2001-04-25,123.17,123.18
2001-04-26,123.72,123.73
2001-04-27,125.78,125.73
2001-04-30,124.91,125.2
2001-05-01,127.05,127.18
2001-05-02,126.82,126.95
2001-05-03,125.21,125.42
2001-05-04,127.34,127.25
2001-05-07,126.24,126.2
2001-05-08,126.18,126.35
2001-05-09,125.65,125.85
2001-05-10,126.02,126.25
2001-05-11,125.15,125.16
2001-05-14,125.4,125.35
2001-05-15,125.98,125.32
2001-05-16,128.95,128.95
2001-05-17,129.15,129.36
2001-05-18,129.74,129.78
2001-05-21,131.65,131.67
2001-05-22,131.48,131.3
2001-05-23,129.25,129.38
2001-05-24,129.63,129.77
2001-05-25,128.1,128.17
2001-05-29,127.08,127.18
2001-05-30,125.3,125.31
2001-05-31,125.95,125.73
2001-06-01,126.73,126.89
2001-06-04,127.34,127.08
2001-06-05,128.8,128.85
2001-06-06,127.73,127.56
2001-06-07,128.19,128.13
2001-06-08,127.0,127.15
2001-06-11,126.1,125.77
2001-06-12,125.88,125.59
2001-06-13,124.8,124.56
2001-06-14,122.0,121.61
2001-06-15,121.85,121.84
2001-06-18,121.26,120.95
2001-06-19,121.79,121.35
2001-06-20,122.43,122.28
2001-06-21,123.82,123.68
2001-06-22,122.85,122.88
2001-06-25,121.72,122.16
2001-06-26,121.55,121.52
2001-06-27,121.48,121.31
2001-06-28,122.15,122.81
2001-06-29,122.6,122.69
2001-07-02,124.13,123.91
2001-07-03,124.1,124.0
2001-07-05,121.68,122.0
2001-07-06,119.05,118.86
2001-07-09,119.7,119.68
2001-07-10,118.26,118.32
2001-07-11,118.38,118.28
2001-07-12,121.19,121.18
2001-07-13,122.24,122.0
2001-07-16,120.71,120.73
2001-07-17,121.84,121.7
2001-07-18,121.01,120.89
2001-07-19,122.07,121.39
2001-07-20,121.34,121.25
2001-07-23,118.95,119.0
2001-07-24,117.8,117.67
2001-07-25,119.1,119.25
2001-07-26,120.35,120.77
2001-07-27,120.81,120.85
2001-07-30,120.85,120.77
2001-07-31,121.35,121.3
2001-08-01,122.11,122.09
2001-08-02,122.61,122.48
2001-08-03,121.94,121.93
2001-08-06,120.3,120.34
2001-08-07,120.77,120.83
2001-08-08,118.53,118.54
2001-08-09,118.88,118.78
2001-08-10,119.29,119.52
2001-08-13,119.32,119.51
2001-08-14,119.27,119.3
2001-08-15,118.24,118.16
2001-08-16,118.65,118.57
2001-08-17,116.75,116.79
2001-08-20,117.83,117.44
2001-08-21,115.82,116.0
2001-08-22,117.02,117.04
2001-08-23,116.6,116.66
2001-08-24,119.02,118.69
2001-08-27,118.31,118.36
2001-08-28,116.58,116.65
2001-08-29,115.54,115.49
2001-08-30,113.32,113.18
2001-08-31,114.15,114.23
2001-09-04,113.42,113.48
